127.0.0.1 - - [21/Aug/2025:21:31:32 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:31:35 +0530] "GET /My-Project/ HTTP/1.1" 500 10455
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:25 +0530] "GET /My-Project/ HTTP/1.1" 200 9628
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "POST /My-Project/checkUser HTTP/1.1" 200 3678
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/css/templatemo-style.css HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/css/bootstrap.min.css HTTP/1.1" 200 153402
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/js/slick.js HTTP/1.1" 200 88454
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/js/jquery-3.5.1.min.js HTTP/1.1" 200 89475
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/js/bootstrap.min.js HTTP/1.1" 200 61768
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/css/slick.css HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/js/templatemo-script.js HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/img/tm-astro-bg.jpg HTTP/1.1" 200 255016
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:36:52 +0530] "GET /My-Project/video/gfp-astro-timelapse.mp4 HTTP/1.1" 206 9433601
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:41:55 +0530] "POST /My-Project/checkUser HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:42:03 +0530] "GET /My-Project/amdcourse HTTP/1.1" 500 6129
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:43:36 +0530] "GET /My-Project/amdcourse HTTP/1.1" 500 6125
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:46:37 +0530] "GET /My-Project/amdcourse HTTP/1.1" 500 6125
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:54:36 +0530] "GET /My-Project/amdcourse HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [21/Aug/2025:21:54:36 +0530] "GET /My-Project/css/responsive.css HTTP/1.1" 404 683
