127.0.0.1 - - [21/Jun/2025:10:44:56 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:44:58 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:44:58 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:45:05 +0530] "POST /NumberGame/guess HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:45:52 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:45:53 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:45:56 +0530] "POST /NumberGame/guess HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:48:36 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:48:42 +0530] "POST /NumberGame/guess HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:48 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:49 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:49 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:50 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:50 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:50 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:50 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:55 +0530] "POST /NumberGame/guess HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:49:58 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:50:05 +0530] "POST /NumberGame/guess HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:51:12 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:51:12 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:51:12 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:51:12 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:51:13 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:51:17 +0530] "POST /NumberGame/guess HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:52:06 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:52:07 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:52:12 +0530] "POST /NumberGame/guess HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:52:14 +0530] "GET /NumberGame/index.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:52:42 +0530] "POST /NumberGame/guess HTTP/1.1" 200 1430
